HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,PassengerGroup,PassengerGroupNumber,Deck,Num,Side
Earth,False,TRAPPIST,10.0,False,0.0,0.0,0.0,0.0,0.0,Breney Jacostanley,True,20,4,E,0.0,S
Earth,True,PSO,1.0,False,0.0,0.0,0.0,0.0,0.0,Mael Brantuarez,False,20,5,E,0.0,S
Earth,False,TRAPPIST,7.0,False,0.0,0.0,0.0,0.0,0.0,Terta Mcfaddennon,False,20,6,E,0.0,S
Europa,True,TRAPPIST,62.0,False,0.0,0.0,0.0,0.0,0.0,Penton Fullided,True,24,1,C,2.0,S
Earth,False,TRAPPIST,15.0,False,0.0,225.0,0.0,998.0,0.0,Karard Brookenson,False,25,1,F,6.0,S
Europa,False,CANCRI,34.0,False,22.0,6073.0,0.0,1438.0,328.0,Anyoni Unconary,False,26,1,C,0.0,P
Mars,False,TRAPPIST,43.0,False,1125.0,0.0,136.0,48.0,0.0,Ceros Mare,False,28,1,F,8.0,P
Earth,False,TRAPPIST,32.0,False,0.0,850.0,81.0,437.0,453.0,Ginia Morsentley,False,30,1,G,4.0,S
Mars,False,TRAPPIST,47.0,False,214.0,0.0,1411.0,0.0,1229.0,Coobix Datie,True,31,1,F,9.0,P
Mars,False,TRAPPIST,2.0,False,0.0,0.0,0.0,0.0,0.0,Cinets Datie,True,31,2,F,9.0,P
Mars,False,TRAPPIST,20.0,False,0.0,0.0,1750.0,990.0,0.0,Dontch Datie,True,31,3,F,9.0,P
Europa,True,CANCRI,28.0,False,0.0,0.0,0.0,0.0,0.0,Ziba Oingwhedly,True,34,1,D,1.0,S
Mars,False,CANCRI,23.0,False,784.0,964.0,0.0,951.0,0.0,Luse Butte,False,35,1,D,1.0,P
Earth,False,CANCRI,15.0,False,0.0,492.0,48.0,20.0,401.0,Marina Leodger,False,36,1,F,8.0,S
Earth,False,CANCRI,20.0,False,554.0,195.0,0.0,2606.0,0.0,Loise Wheelez,False,38,1,F,10.0,S
Earth,True,CANCRI,30.0,False,0.0,0.0,0.0,0.0,0.0,Jorgie Batthewitt,False,39,1,G,1.0,P
Earth,True,TRAPPIST,17.0,False,0.0,0.0,0.0,0.0,0.0,Margia Moodsey,True,41,1,G,2.0,P
Europa,False,TRAPPIST,45.0,False,0.0,164.0,45.0,2511.0,855.0,Ankalik Cylistrand,False,43,1,B,3.0,P
Earth,True,TRAPPIST,55.0,False,0.0,0.0,0.0,0.0,0.0,Jodye Coopelandez,False,44,1,G,3.0,P
Earth,True,CANCRI,4.0,False,0.0,0.0,0.0,0.0,0.0,Kayne Coopelandez,True,44,2,G,3.0,P
Earth,True,PSO,21.0,False,0.0,0.0,0.0,0.0,0.0,Cassa Coopelandez,True,44,3,G,3.0,P
Mars,False,TRAPPIST,21.0,False,970.0,0.0,180.0,0.0,64.0,Zelowl Chmad,False,45,1,F,10.0,P
Mars,True,TRAPPIST,19.0,False,0.0,0.0,0.0,0.0,0.0,Mass Chmad,True,45,2,F,10.0,P
Earth,False,CANCRI,35.0,False,790.0,0.0,0.0,0.0,0.0,Sony Lancis,False,50,1,E,1.0,S
Earth,False,TRAPPIST,56.0,False,0.0,112.0,0.0,1379.0,127.0,Vivia Johnshines,False,51,1,E,2.0,S
Earth,False,TRAPPIST,29.0,False,4.0,0.0,2.0,4683.0,0.0,Elaney Hubbarton,False,52,1,G,6.0,S
Earth,False,TRAPPIST,25.0,False,0.0,0.0,1938.0,0.0,1.0,Elson Hickerson,True,53,1,F,11.0,S
Europa,False,TRAPPIST,2.0,False,0.0,0.0,0.0,0.0,0.0,Okulas Tractive,True,56,1,A,1.0,S
Europa,True,TRAPPIST,38.0,False,0.0,0.0,0.0,0.0,0.0,Instab Tractive,True,56,2,A,1.0,S
Europa,False,TRAPPIST,27.0,False,279.0,605.0,3374.0,286.0,3.0,Zinoces Tractive,True,56,3,A,1.0,S
Earth,True,PSO,36.0,False,0.0,0.0,0.0,0.0,0.0,Warry Ayalazquez,False,58,1,G,7.0,S
Earth,False,TRAPPIST,22.0,False,45.0,1096.0,148.0,1377.0,1.0,Shanya Salez,False,61,1,F,12.0,S
Earth,False,TRAPPIST,62.0,False,0.0,592.0,0.0,17.0,25.0,Sterry Greeves,False,62,1,F,13.0,S
Mars,True,TRAPPIST,33.0,False,0.0,0.0,0.0,0.0,0.0,Colatz Keen,True,64,2,E,3.0,S
Earth,False,TRAPPIST,62.0,False,1.0,153.0,197.0,0.0,460.0,Diandy Pecketton,False,66,1,G,6.0,P
Earth,True,PSO,0.0,False,0.0,0.0,0.0,0.0,0.0,Ninaha Leeves,True,67,1,G,10.0,S
Earth,False,TRAPPIST,18.0,False,1.0,258.0,446.0,0.0,0.0,Celine Leeves,True,67,2,G,10.0,S
Earth,False,CANCRI,21.0,False,1946.0,37.0,0.0,0.0,24.0,Velyne Leeves,False,67,3,F,15.0,S
Mars,False,TRAPPIST,29.0,False,793.0,0.0,2.0,253.0,0.0,Cinst Binie,False,68,1,E,4.0,S
Earth,False,TRAPPIST,19.0,False,190.0,0.0,5.0,1.0,726.0,Meremy Brighttt,False,70,1,F,13.0,P
Earth,False,TRAPPIST,17.0,False,16.0,2165.0,0.0,0.0,52.0,Nelly Dillines,False,71,1,F,14.0,P
Earth,False,TRAPPIST,14.0,False,0.0,1.0,0.0,0.0,1063.0,Thell Brantuarez,False,72,1,F,17.0,S
Mars,False,PSO,37.0,False,46.0,83.0,738.0,0.0,12.0,Gorn Make,False,73,1,D,3.0,P
Europa,False,TRAPPIST,42.0,False,1.0,8397.0,0.0,0.0,506.0,Aldibah Mostedry,True,74,1,C,3.0,S
Mars,False,TRAPPIST,27.0,False,147.0,0.0,1018.0,0.0,0.0,Conk Dal,True,76,1,F,18.0,S
Mars,False,TRAPPIST,28.0,False,14.0,0.0,1295.0,0.0,0.0,Pon Blité,True,77,1,F,15.0,P
Europa,False,TRAPPIST,38.0,False,0.0,5840.0,0.0,321.0,9654.0,Spuri Pokerheed,False,78,1,C,4.0,S
Earth,True,TRAPPIST,13.0,False,0.0,0.0,0.0,0.0,0.0,Dellie Vinozarks,False,81,1,G,13.0,S
Mars,False,TRAPPIST,42.0,False,7406.0,0.0,0.0,0.0,0.0,Totse Datte,False,82,1,F,16.0,P
Mars,True,TRAPPIST,2.0,False,0.0,0.0,0.0,0.0,0.0,Eaturs Datte,True,82,2,F,16.0,P
Earth,False,TRAPPIST,24.0,False,688.0,0.0,0.0,0.0,17.0,Coren Coopezmaney,True,84,1,G,14.0,S
Europa,True,TRAPPIST,40.0,False,0.0,0.0,0.0,0.0,0.0,Furudah Ellcefulve,True,85,1,C,5.0,S
Earth,False,TRAPPIST,43.0,False,211.0,0.0,0.0,638.0,513.0,Jodye Kinson,False,86,1,F,17.0,P
Mars,True,PSO,45.0,False,0.0,0.0,0.0,0.0,0.0,Stmeal Sacre,True,88,1,E,5.0,S
Earth,True,TRAPPIST,35.0,False,0.0,0.0,0.0,0.0,0.0,Heremy Santry,True,90,1,G,15.0,S
Earth,True,TRAPPIST,26.0,False,0.0,0.0,0.0,0.0,0.0,Deanne Yorkland,True,91,1,G,16.0,S
Earth,False,TRAPPIST,27.0,False,1.0,697.0,31.0,188.0,0.0,Tinez Yorkland,False,91,2,F,20.0,S
Earth,False,TRAPPIST,19.0,False,0.0,0.0,670.0,1.0,34.0,Gracy Dunnisey,False,92,1,G,9.0,P
Earth,True,TRAPPIST,0.0,False,0.0,0.0,0.0,0.0,0.0,Stald Hewson,True,92,2,G,9.0,P
Earth,True,TRAPPIST,3.0,False,0.0,0.0,0.0,0.0,0.0,Tiney Hewson,True,92,3,G,9.0,P
Europa,False,TRAPPIST,54.0,False,0.0,1208.0,0.0,3.0,637.0,Alchium Fictful,False,97,1,A,2.0,S
Earth,False,TRAPPIST,26.0,False,0.0,856.0,5.0,32.0,0.0,Doria Carezquez,False,98,1,G,11.0,P
Earth,False,TRAPPIST,26.0,False,0.0,2811.0,957.0,0.0,87.0,Leence Carezquez,True,98,2,G,11.0,P
Earth,False,PSO,23.0,False,311.0,427.0,526.0,37.0,0.0,Aliey Leetersoney,False,99,1,F,19.0,P
Earth,True,TRAPPIST,2.0,False,0.0,0.0,0.0,0.0,0.0,Thewis Connelson,True,99,2,G,12.0,P
Earth,False,TRAPPIST,18.0,False,0.0,0.0,0.0,830.0,91.0,Ritany Holson,False,102,1,F,23.0,S
Earth,False,TRAPPIST,24.0,False,0.0,0.0,0.0,0.0,17.0,Arlen Mclainez,True,103,1,F,24.0,S
Earth,True,CANCRI,9.0,False,0.0,0.0,0.0,0.0,0.0,Shaele Mclainez,True,103,2,G,18.0,S
Earth,True,TRAPPIST,6.0,False,0.0,0.0,0.0,0.0,0.0,Fanne Mclainez,False,103,3,G,18.0,S
Earth,True,TRAPPIST,27.0,False,0.0,0.0,570.0,2.0,131.0,Carry Cleachrand,False,105,1,F,21.0,P
Mars,False,TRAPPIST,21.0,False,1743.0,5.0,17.0,0.0,0.0,Coobix Hart,False,107,1,D,2.0,S
Earth,True,TRAPPIST,23.0,False,0.0,0.0,0.0,0.0,0.0,Natald Handertiz,False,108,1,G,19.0,S
Earth,False,TRAPPIST,0.0,False,0.0,0.0,0.0,0.0,0.0,Oline Handertiz,True,108,3,G,19.0,S
Europa,True,TRAPPIST,40.0,False,0.0,331.0,0.0,0.0,1687.0,Aldeba Bootious,False,110,2,B,5.0,P
Europa,False,TRAPPIST,42.0,False,2209.0,11418.0,0.0,1868.0,445.0,Alaratz Aloubtled,True,110,3,B,5.0,P
Europa,True,TRAPPIST,28.0,False,0.0,0.0,0.0,0.0,0.0,Izark Aloubtled,True,110,4,B,5.0,P
Europa,True,TRAPPIST,29.0,False,0.0,0.0,0.0,0.0,0.0,Aldera Supred,True,111,1,E,6.0,S
Europa,False,CANCRI,48.0,True,0.0,2537.0,87.0,17.0,13.0,Moth Cowtale,True,112,1,B,1.0,S
Earth,False,TRAPPIST,64.0,False,0.0,0.0,804.0,0.0,0.0,Idary Carvis,True,113,1,F,23.0,P
Earth,False,TRAPPIST,27.0,False,82.0,157.0,429.0,238.0,1.0,Maura Beckerson,False,114,1,G,20.0,S
Mars,True,TRAPPIST,26.0,False,0.0,0.0,0.0,0.0,0.0,Rohs Pead,True,115,1,F,24.0,P
Europa,False,TRAPPIST,33.0,False,1.0,2223.0,0.0,12.0,404.0,Alhenah Suptive,True,116,1,D,4.0,P
Europa,False,TRAPPIST,39.0,False,0.0,2344.0,0.0,65.0,6898.0,Batan Coning,False,119,1,A,0.0,P
Europa,True,TRAPPIST,13.0,False,0.0,0.0,0.0,0.0,0.0,Kleeiak Coning,True,119,2,A,0.0,P
Mars,True,TRAPPIST,24.0,False,0.0,0.0,0.0,0.0,0.0,Bees Sacre,True,120,1,F,25.0,P
Earth,False,TRAPPIST,29.0,False,0.0,0.0,0.0,699.0,74.0,Shelle Hayder,False,122,1,G,21.0,S
Earth,False,TRAPPIST,18.0,False,55.0,597.0,49.0,0.0,1.0,Iree Fielson,False,123,1,F,27.0,P
Mars,True,TRAPPIST,67.0,False,0.0,0.0,0.0,0.0,0.0,Milly Mish,True,126,1,F,27.0,S
Mars,False,TRAPPIST,35.0,False,701.0,0.0,296.0,0.0,25.0,Miloss Mesty,False,127,1,E,7.0,S
Mars,False,TRAPPIST,61.0,True,2353.0,334.0,9.0,316.0,2.0,Grohs Fles,False,128,1,D,3.0,S
Mars,False,TRAPPIST,45.0,False,2103.0,6.0,0.0,0.0,0.0,Barave Fles,False,128,2,E,8.0,S
Earth,True,PSO,22.0,False,0.0,0.0,0.0,0.0,0.0,Race Fowles,True,129,1,G,22.0,S
Mars,True,TRAPPIST,19.0,False,0.0,0.0,0.0,0.0,0.0,Flynx Blie,True,133,1,F,29.0,S
Mars,False,TRAPPIST,36.0,False,2738.0,0.0,0.0,0.0,0.0,Egrasp Blie,False,133,2,D,5.0,S
Earth,False,TRAPPIST,19.0,False,0.0,14.0,730.0,0.0,0.0,Camina Harmontry,True,134,1,G,17.0,P
Earth,True,TRAPPIST,13.0,False,0.0,0.0,0.0,0.0,0.0,Fayene Gambs,True,138,1,G,18.0,P
Earth,False,TRAPPIST,34.0,False,0.0,22.0,0.0,564.0,207.0,Monah Gambs,False,138,2,E,5.0,P
Europa,True,CANCRI,35.0,False,0.0,0.0,0.0,0.0,0.0,Charda Myling,True,139,1,C,6.0,S
Earth,True,TRAPPIST,24.0,False,0.0,0.0,0.0,0.0,0.0,Evaley Mejiaddox,True,140,1,G,19.0,P
Earth,False,TRAPPIST,26.0,False,440.0,0.0,0.0,0.0,462.0,Verney Whitakers,False,140,2,F,29.0,P
Mars,False,TRAPPIST,31.0,False,0.0,0.0,97.0,0.0,0.0,Pyrohs Harte,False,141,1,F,30.0,P
Earth,False,TRAPPIST,20.0,False,0.0,420.0,210.0,0.0,0.0,Guadae Dayers,True,144,1,F,31.0,S
Earth,False,TRAPPIST,56.0,False,0.0,0.0,0.0,0.0,0.0,Verly Wolferguson,False,146,1,G,25.0,S
Earth,True,TRAPPIST,50.0,False,0.0,0.0,0.0,0.0,0.0,Samie Hubbarrison,True,147,1,G,26.0,S
Mars,False,TRAPPIST,42.0,False,1072.0,0.0,10.0,0.0,76.0,Corsh Pashe,False,148,1,F,31.0,P
Earth,True,CANCRI,29.0,False,0.0,0.0,0.0,0.0,0.0,Billya Hubbarrison,True,149,1,G,27.0,S
Earth,True,CANCRI,38.0,False,0.0,0.0,0.0,0.0,0.0,Shanie Simson,False,151,1,G,20.0,P
Earth,False,TRAPPIST,41.0,False,0.0,0.0,0.0,0.0,607.0,Andan Estron,False,152,1,F,32.0,P
Earth,False,TRAPPIST,22.0,False,4119.0,0.0,0.0,0.0,61.0,Gory Atkinney,False,160,1,G,22.0,P
Europa,True,TRAPPIST,26.0,False,0.0,0.0,0.0,0.0,0.0,Kabiton Hetforhaft,True,163,1,B,8.0,P
Europa,True,TRAPPIST,17.0,False,0.0,0.0,0.0,0.0,0.0,Scharab Hetforhaft,True,163,2,B,8.0,P
Earth,False,TRAPPIST,57.0,False,50.0,1688.0,0.0,0.0,135.0,Fany Hutchinton,True,164,1,G,28.0,S
Earth,True,PSO,17.0,False,0.0,0.0,0.0,0.0,0.0,Ianya Hutchinton,False,164,2,G,28.0,S
Mars,True,TRAPPIST,35.0,False,0.0,0.0,0.0,0.0,0.0,Graven Anche,True,165,1,F,37.0,P
Mars,True,TRAPPIST,13.0,False,0.0,0.0,0.0,0.0,0.0,Miten Floaf,True,167,1,F,35.0,S
Mars,False,TRAPPIST,27.0,False,1365.0,0.0,48.0,22.0,137.0,Rios Floaf,False,167,2,F,35.0,S
Earth,True,TRAPPIST,31.0,False,0.0,0.0,0.0,0.0,0.0,Wandy Fisherry,False,169,1,G,23.0,P
Earth,False,TRAPPIST,24.0,False,0.0,0.0,0.0,221.0,567.0,Mollie Mcmahoney,False,170,1,E,10.0,S
Earth,True,PSO,19.0,False,0.0,0.0,0.0,0.0,0.0,Coracy Gordanieves,True,171,1,G,30.0,S
Earth,True,TRAPPIST,32.0,False,0.0,0.0,0.0,0.0,0.0,Hanna Johnshines,True,172,1,G,24.0,P
Earth,True,TRAPPIST,58.0,False,0.0,985.0,0.0,5.0,0.0,Hilip Grifford,True,173,1,E,11.0,S
Earth,False,CANCRI,21.0,False,287.0,0.0,16.0,115.0,175.0,Doryn Lambles,False,174,1,F,38.0,P
Europa,False,TRAPPIST,38.0,False,0.0,10346.0,1.0,14970.0,2111.0,Toperon Iniouser,False,177,1,B,2.0,S
Mars,False,TRAPPIST,38.0,False,3414.0,0.0,161.0,28.0,119.0,Wees Knik,False,178,1,D,6.0,S
Earth,False,TRAPPIST,19.0,False,1.0,219.0,673.0,2.0,11.0,Elaney Webstephrey,True,179,1,G,26.0,P
Earth,False,TRAPPIST,0.0,False,0.0,0.0,0.0,0.0,0.0,Raque Webstephrey,False,179,2,G,26.0,P
Earth,False,TRAPPIST,3.0,False,0.0,0.0,0.0,0.0,0.0,Sallyl Webstephrey,True,179,3,G,26.0,P
Earth,False,TRAPPIST,20.0,False,0.0,0.0,3.0,299.0,92.0,Nancis Brighttt,False,181,1,G,27.0,P
Europa,True,TRAPPIST,24.0,False,0.0,0.0,0.0,0.0,0.0,Ksorab Disight,True,182,1,C,3.0,P
Earth,False,TRAPPIST,37.0,False,17.0,146.0,426.0,0.0,232.0,Stany Weaves,True,183,1,F,36.0,S
Earth,False,TRAPPIST,25.0,False,62.0,0.0,0.0,0.0,956.0,Camiet Shephendry,False,186,1,G,28.0,P
Earth,True,TRAPPIST,56.0,False,0.0,0.0,0.0,0.0,0.0,Branda Romez,True,188,1,G,31.0,S
Earth,False,CANCRI,49.0,False,84.0,3.0,401.0,202.0,98.0,Helly Booters,False,189,1,E,8.0,P
Earth,True,TRAPPIST,1.0,False,0.0,0.0,0.0,0.0,0.0,Tance Adavisons,True,192,1,G,29.0,P
Earth,False,TRAPPIST,8.0,False,0.0,0.0,0.0,0.0,0.0,Robyny Adavisons,False,192,2,G,29.0,P
Earth,False,TRAPPIST,39.0,False,0.0,0.0,10.0,898.0,0.0,Lilace Adavisons,False,192,3,G,29.0,P
Mars,True,TRAPPIST,2.0,False,0.0,0.0,0.0,0.0,0.0,Sps Raf,True,193,1,F,41.0,P
Mars,False,TRAPPIST,23.0,False,0.0,0.0,8.0,1072.0,0.0,Frook Raf,False,193,2,F,41.0,P
Mars,False,TRAPPIST,0.0,False,0.0,0.0,0.0,0.0,0.0,Goles Raf,True,193,3,F,41.0,P
Mars,False,TRAPPIST,39.0,False,406.0,0.0,867.0,0.0,0.0,Bar Floaf,True,195,1,F,42.0,P
Mars,False,PSO,25.0,False,1052.0,0.0,719.0,0.0,7.0,Caper Emead,False,196,1,D,5.0,P
Europa,False,TRAPPIST,36.0,False,0.0,972.0,0.0,795.0,575.0,Astrak Dissper,False,197,1,C,5.0,P
Earth,True,PSO,52.0,False,0.0,0.0,0.0,0.0,0.0,Jeroy Cookson,True,198,1,G,30.0,P
Earth,True,TRAPPIST,18.0,False,0.0,0.0,0.0,0.0,0.0,Regana Morrows,False,199,1,G,33.0,S
Earth,True,TRAPPIST,15.0,False,0.0,0.0,0.0,0.0,0.0,Elia Colomonson,True,200,1,G,31.0,P
Europa,True,TRAPPIST,35.0,False,0.0,0.0,0.0,0.0,0.0,Kaffias Bacistion,True,201,1,B,3.0,S
Europa,True,TRAPPIST,47.0,False,0.0,0.0,0.0,0.0,0.0,Edaruma Bacistion,True,201,2,B,3.0,S
Europa,True,CANCRI,45.0,False,0.0,0.0,0.0,0.0,0.0,Pomera Embleng,True,202,1,B,9.0,P
Europa,False,CANCRI,29.0,False,0.0,2433.0,0.0,878.0,443.0,Vegas Embleng,True,202,2,A,2.0,P
Europa,True,TRAPPIST,51.0,False,0.0,0.0,0.0,0.0,0.0,Ancham Heateele,True,203,1,C,8.0,S
Earth,False,TRAPPIST,29.0,False,0.0,2.0,66.0,0.0,705.0,Carma Oneiles,False,205,1,G,34.0,S
Europa,False,CANCRI,29.0,False,2.0,1720.0,12.0,1125.0,122.0,Nuson Brugashed,True,206,1,C,9.0,S
Earth,True,PSO,19.0,False,0.0,0.0,0.0,0.0,0.0,Thony Mcfaddennon,False,207,1,G,32.0,P
Europa,True,CANCRI,24.0,False,0.0,0.0,0.0,0.0,0.0,Arraid Inicont,True,210,1,D,6.0,P
Mars,False,TRAPPIST,29.0,False,902.0,1.0,137.0,0.0,0.0,Pebuts Appie,True,211,1,F,44.0,P
Mars,True,TRAPPIST,11.0,False,0.0,0.0,0.0,0.0,0.0,Corsh Appie,True,211,2,F,44.0,P
Mars,False,TRAPPIST,17.0,False,848.0,0.0,307.0,182.0,0.0,Picers Date,False,211,3,F,44.0,P
Earth,False,TRAPPIST,13.0,False,192.0,0.0,0.0,51.0,739.0,Inen Workmans,False,212,1,E,9.0,P
Earth,False,TRAPPIST,35.0,False,147.0,188.0,0.0,10.0,387.0,Shally Workmans,False,212,2,F,45.0,P
Earth,False,TRAPPIST,21.0,False,367.0,281.0,0.0,0.0,146.0,Carita Navages,False,213,1,F,46.0,P
Earth,False,CANCRI,21.0,False,0.0,56.0,0.0,0.0,1918.0,Searla Garnes,False,216,1,F,40.0,S
Earth,False,TRAPPIST,38.0,False,1517.0,0.0,0.0,27.0,0.0,Prilly Shieldson,False,217,1,F,47.0,P
Earth,True,TRAPPIST,19.0,False,0.0,0.0,0.0,0.0,0.0,Nica River,True,219,1,G,36.0,P
Earth,True,TRAPPIST,2.0,False,0.0,0.0,0.0,0.0,0.0,Tyle Wilsoney,True,220,1,G,37.0,P
Earth,False,TRAPPIST,0.0,False,0.0,0.0,0.0,0.0,0.0,Wena Wilsoney,True,220,2,G,37.0,P
Earth,True,TRAPPIST,13.0,False,0.0,0.0,0.0,0.0,0.0,Branca Wilsoney,False,220,3,G,37.0,P
Earth,False,TRAPPIST,25.0,False,122.0,84.0,0.0,0.0,0.0,Dont Wilsoney,False,220,4,E,10.0,P
Earth,False,TRAPPIST,16.0,False,0.0,3.0,0.0,0.0,1099.0,Velyne Wilsoney,False,220,5,F,48.0,P
Earth,False,CANCRI,1.0,False,0.0,0.0,0.0,0.0,0.0,Weney Wilsoney,False,220,6,G,37.0,P
Earth,True,TRAPPIST,15.0,False,0.0,0.0,0.0,0.0,0.0,Guye Wilsoney,True,220,7,G,37.0,P
Mars,False,CANCRI,21.0,False,2237.0,0.0,119.0,0.0,0.0,Cowhex Blan,False,221,1,E,13.0,S
Mars,False,TRAPPIST,23.0,False,1215.0,80.0,1.0,2.0,0.0,Yogark Reke,False,221,2,E,13.0,S
Mars,False,TRAPPIST,33.0,False,1933.0,12.0,188.0,1.0,0.0,Jacks Reke,False,221,3,E,13.0,S
Mars,True,TRAPPIST,21.0,False,0.0,0.0,0.0,0.0,0.0,Eerch Reke,True,221,4,E,13.0,S
Mars,False,TRAPPIST,41.0,False,1230.0,0.0,301.0,43.0,1023.0,Panbug Reke,False,221,5,E,13.0,S
Mars,False,TRAPPIST,16.0,False,915.0,0.0,221.0,234.0,0.0,Gran Reke,False,221,6,E,13.0,S
Mars,True,TRAPPIST,42.0,False,0.0,0.0,0.0,0.0,0.0,Rohs Reke,False,221,7,E,13.0,S
Mars,False,TRAPPIST,20.0,False,1406.0,0.0,0.0,11.0,0.0,Gone Perte,False,222,1,F,41.0,S
Mars,True,TRAPPIST,24.0,False,0.0,0.0,0.0,0.0,0.0,Colf Deva,True,222,2,F,41.0,S
Mars,True,TRAPPIST,16.0,False,0.0,0.0,0.0,0.0,0.0,Grake Perte,True,222,3,E,14.0,S
Earth,False,TRAPPIST,21.0,False,0.0,2.0,665.0,0.0,9.0,Evan Sykess,False,223,1,G,35.0,S
Mars,False,TRAPPIST,32.0,True,181.0,0.0,5.0,1634.0,0.0,Blues Queen,False,224,1,F,42.0,S
Earth,True,PSO,58.0,False,0.0,0.0,0.0,0.0,0.0,Carly Hortis,True,225,1,G,38.0,P
Earth,False,TRAPPIST,24.0,False,4.0,7.0,0.0,713.0,79.0,Done Sellahaney,False,229,1,F,43.0,S
Mars,False,TRAPPIST,30.0,False,85.0,0.0,1.0,1720.0,0.0,Krus Nate,False,231,1,F,44.0,S
Earth,True,PSO,27.0,False,0.0,0.0,0.0,0.0,0.0,Nica Bakerrison,False,232,1,G,36.0,S
Mars,False,TRAPPIST,32.0,False,56.0,0.0,256.0,1438.0,0.0,Teda Wist,False,233,1,F,45.0,S
Earth,False,TRAPPIST,43.0,False,0.0,888.0,0.0,0.0,0.0,Keitha Josey,False,234,1,F,50.0,P
Europa,True,TRAPPIST,42.0,False,0.0,0.0,0.0,0.0,0.0,Weias Aginge,True,237,1,B,11.0,P
Mars,True,TRAPPIST,35.0,False,0.0,0.0,0.0,0.0,0.0,Puffes Crie,True,240,1,F,52.0,P
Europa,True,CANCRI,33.0,False,0.0,1249.0,0.0,4812.0,1116.0,Alas Dischod,False,241,1,E,11.0,P
Earth,False,TRAPPIST,18.0,False,313.0,1.0,691.0,283.0,0.0,Almone Sté,False,242,1,F,46.0,S
Earth,True,TRAPPIST,21.0,False,0.0,0.0,0.0,0.0,0.0,Lilace Cartyernan,False,243,1,G,37.0,S
Mars,True,CANCRI,14.0,False,0.0,0.0,0.0,0.0,0.0,Tous Sad,True,244,2,F,47.0,S
Europa,False,CANCRI,46.0,False,0.0,3571.0,0.0,0.0,7.0,Glueba Repumparte,True,245,1,C,6.0,P
Europa,False,TRAPPIST,33.0,False,0.0,86.0,796.0,584.0,10912.0,Anchib Repumparte,False,245,2,C,6.0,P
